City,State,Max Size (sq ft),Setbacks,Parking,Occupancy,Additional Requirements,FAQ,URL
Bakersfield,CA,"1,200","4 ft rear, 4 ft side","Required (1 space, tandem OK; waived near transit)",Not required (for ADUs; required for JADUs),"; ADU must be at least 150 sq ft; Detached ADUs allowed up to 1,200 sq ft; Owner occupancy NOT required for ADUs (required for JADUs); Parking: 1 space required (tandem OK) — waived for JADU, garage conversion, or within ½ mile transit; Standard Plans Gallery: bakersfieldadu.us/gallery; ADU Cost Calculator: bakersfieldadu.us/calculator",Bakersfield follows California state law (AB 68) which allows ADUs by right on lots zoned for single,https://aducheatsheet.com/cities/bakersfield-ca.html
Fresno,CA,"1,200","4 ft rear, 4 ft side",Not required,Required,; Junior ADUs (JADU) allowed up to 500 sq ft; Minimum ADU size: 150 sq ft; Owner occupancy REQUIRED (AB 3182); Building permit required,Fresno permits ADUs in all residential zones following California state law. Check with the Fresno P,https://aducheatsheet.com/cities/fresno-ca.html
Modesto,CA,"1,200","4 ft rear, 4 ft side",Not required,Not required,; ADU allowed by right in residential zones; Minimum 150 sq ft for detached ADUs; Can be attached or detached; Permit fees vary by size,Modesto allows ADUs under California state law. The city does not impose additional restrictions bey,https://aducheatsheet.com/cities/modesto-ca.html
Stockton,CA,"1,200","4 ft rear, 4 ft side",Not required,Not required,; Minimum ADU size: 150 sq ft; Maximum ADU height: 16 ft; Lot coverage restrictions may apply; Fire safety requirements for detached units,Stockton permits ADUs under California state law. Certain historic district properties may have addi,https://aducheatsheet.com/cities/stockton-ca.html
Santa Rosa,CA,"1,200","4 ft rear, 4 ft side",Not required,Not required,; Height limit: 16-18 ft; Urban Growth Boundary constraints may apply; Conversion of existing space encouraged; Fire sprinklers may be required,"Santa Rosa has been proactive about ADUs since the 2017 wildfires, streamlining permit processes to ",https://aducheatsheet.com/cities/santa-rosa-ca.html
Oceanside,CA,"1,200","4 ft rear, 4 ft side",Not required,Not required,; Coastal zone design review required; California Coastal Commission approval needed; Minimum ADU size: 150 sq ft; Height limit: 16 ft for detached,"Oceanside allows ADUs per state law. If your property is in the coastal zone, additional Coastal Com",https://aducheatsheet.com/cities/oceanside-ca.html
Vallejo,CA,"1,200","4 ft rear, 4 ft side",Not required,Not required,; ADU by right in residential zones; Minimum 150 sq ft; Maximum 16 ft height; Conversion of garages allowed,Vallejo follows California state ADU law. The city encourages ADU construction as part of its housin,https://aducheatsheet.com/cities/vallejo-ca.html
Spokane,WA,"1,000","5 ft rear, 5 ft side",Required (1 space),Required,; Maximum lot coverage: 35%; ADU must be at least 200 sq ft; Property owner must occupy primary residence; Short-term rental of ADU prohibited; WA HB 1337 limits local restrictions,Spokane allows ADUs in single-family and multi-family zones. Owner occupancy is required and the ADU,https://aducheatsheet.com/cities/spokane-wa.html
Tacoma,WA,"1,000","5 ft rear, 5 ft side",Not required (near transit),Not required,; ADU allowed in most residential zones; Minimum 200 sq ft; Conversion of existing structures encouraged; No minimum lot size for ADU; Parking waived within 0.5 mile of transit (WA HB 1337),Tacoma has adopted Washington state ADU law (HB 1337) which limits local restrictions. Parking is wa,https://aducheatsheet.com/cities/tacoma-wa.html
Vancouver,WA,"1,200","5 ft rear, 5 ft side",Required (1 space),Required,; Minimum ADU size: 200 sq ft; Maximum height: 24 ft; Off-street parking required unless exempt; Only one ADU per lot,"Vancouver, WA permits ADUs in residential zones. Owner occupancy is required and parking must be pro",https://aducheatsheet.com/cities/vancouver-wa.html
